keyword,product_name,image,price,brand,maker,product_id,category1,category2,category3,category4,mall_name,api_source,sale_price
소파,에보니아 라인 패브릭 방수원단 3인 독립형 소파베드,https://shopping-phinf.pstatic.net/main_1454069/14540693472.20200810153349.jpg,"₩151,530",에보니아,에보니아,14540693472,가구/인테리어,거실가구,소파,소파베드,네이버,네이버,
소파,아르셰 모찌 1인용 빈백 소파,https://shopping-phinf.pstatic.net/main_1748475/17484753831.20240612101413.jpg,"₩79,000",아르셰,오비유,17484753831,가구/인테리어,거실가구,소파,빈백,네이버,네이버,
소파,삼익가구 버나드 천연소가죽 4인용 소파,https://shopping-phinf.pstatic.net/main_5125747/51257472620.20241106115654.jpg,"₩399,000",삼익가구,삼익가구,51257472620,가구/인테리어,거실가구,소파,가죽소파,네이버,네이버,
소파,NUUB 데일리 구스 아쿠아텍스 패브릭 모듈 소파 4인용 미디엄,https://shopping-phinf.pstatic.net/main_3571196/35711964621.20221108160947.jpg,"₩626,899",NUUB,NUUB,35711964621,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버,
소파,에보니아 체인지 접이식 2인용 소파베드,https://shopping-phinf.pstatic.net/main_2177473/21774736221.20250228093428.jpg,"₩286,000",에보니아,에보니아,21774736221,가구/인테리어,거실가구,소파,소파베드,네이버,네이버,
소파,아이와비 카페 패브릭 접이식 소파베드,https://shopping-phinf.pstatic.net/main_1834045/18340454605.20250312092944.jpg,"₩109,000",아이와비,라텍스트리,18340454605,가구/인테리어,거실가구,소파,소파베드,네이버,네이버,
소파,에보니아 이오 1인용 전동 리클라이너 컵홀더형,https://shopping-phinf.pstatic.net/main_2583783/25837836524.20240425094406.jpg,"₩249,000",에보니아,에보니아,25837836524,가구/인테리어,거실가구,소파,리클라이너소파,네이버,네이버,
소파,폴로까사 로한 4인용 아쿠아텍스 스웨이드 패브릭소파,https://shopping-phinf.pstatic.net/main_1802913/18029130472.20250407091041.jpg,"₩479,000",폴로까사,폴로까사,18029130472,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버,
소파,삼익가구 프라임 4인 전동 USB 리클라이너 가죽 소파 양방향,https://shopping-phinf.pstatic.net/main_1679003/16790035546.20210121091605.jpg,"₩711,000",삼익가구,삼익가구,16790035546,가구/인테리어,거실가구,소파,리클라이너소파,네이버,네이버,
소파,동서가구 테라 라텍스탑 천연가죽 4인소파 DF907375,https://shopping-phinf.pstatic.net/main_1287914/12879148335.20220816103239.jpg,"₩419,000",동서가구,동서가구,12879148335,가구/인테리어,거실가구,소파,가죽소파,네이버,네이버,
