keyword,product_name,image,price,brand,maker,product_id,category1,category2,category3,category4,mall_name,api_source
소파,삼익가구 버나드 천연소가죽 4인용 소파,https://shopping-phinf.pstatic.net/main_5125747/51257472620.20241106115654.jpg,"₩399,000",삼익가구,삼익가구,51257472620,가구/인테리어,거실가구,소파,가죽소파,네이버,네이버
소파,NUUB 데일리 구스 아쿠아텍스 패브릭 모듈 소파 4인용 미디엄,https://shopping-phinf.pstatic.net/main_3571196/35711964621.20221108160947.jpg,"₩626,899",NUUB,NUUB,35711964621,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버
소파,에보니아 체인지 접이식 2인용 소파베드,https://shopping-phinf.pstatic.net/main_2177473/21774736221.20250228093428.jpg,"₩286,000",에보니아,에보니아,21774736221,가구/인테리어,거실가구,소파,소파베드,네이버,네이버
소파,아이와비 카페 패브릭 접이식 소파베드,https://shopping-phinf.pstatic.net/main_1834045/18340454605.20250312092944.jpg,"₩109,000",아이와비,라텍스트리,18340454605,가구/인테리어,거실가구,소파,소파베드,네이버,네이버
소파,에보니아 이오 1인용 전동 리클라이너 컵홀더형,https://shopping-phinf.pstatic.net/main_2583783/25837836524.20240425094406.jpg,"₩249,000",에보니아,에보니아,25837836524,가구/인테리어,거실가구,소파,리클라이너소파,네이버,네이버
소파,폴로까사 로한 4인용 아쿠아텍스 스웨이드 패브릭소파,https://shopping-phinf.pstatic.net/main_1802913/18029130472.20250407091041.jpg,"₩479,000",폴로까사,폴로까사,18029130472,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버
소파,삼익가구 프라임 4인 전동 USB 리클라이너 가죽 소파 양방향,https://shopping-phinf.pstatic.net/main_1679003/16790035546.20210121091605.jpg,"₩711,000",삼익가구,삼익가구,16790035546,가구/인테리어,거실가구,소파,리클라이너소파,네이버,네이버
소파,동서가구 테라 라텍스탑 천연가죽 4인소파 DF907375,https://shopping-phinf.pstatic.net/main_1287914/12879148335.20220816103239.jpg,"₩419,000",동서가구,동서가구,12879148335,가구/인테리어,거실가구,소파,가죽소파,네이버,네이버
소파,웰퍼니쳐 바비 양털 부클레 1인용 소파,https://shopping-phinf.pstatic.net/main_3371635/33716350618.20220727103905.jpg,"₩199,000",웰퍼니쳐,아이웰,33716350618,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버
소파,라자가구 1인용 슬로우 전동 리클라이너 소파 무중력 흔들의자기능,https://shopping-phinf.pstatic.net/main_4819552/48195524621.20240604161959.jpg,"₩590,000",라자가구,라자가구,48195524621,가구/인테리어,거실가구,소파,리클라이너소파,네이버,네이버
소파,브리엔츠가구 베니스 코모도 패브릭 4인용 소파,https://shopping-phinf.pstatic.net/main_2771397/27713975522.20230731174538.jpg,"₩429,000",브리엔츠가구,브리엔츠가구,27713975522,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버
소파,한샘 MVME 프라임 노블 천연면피가죽 전동 리클라이너 소파 4인용,https://shopping-phinf.pstatic.net/main_2356187/23561879490.20210511133941.jpg,"₩1,288,800",한샘,한샘,23561879490,가구/인테리어,거실가구,소파,리클라이너소파,네이버,네이버
소파,파로마 소프 마카롱 아쿠아텍스 패브릭 2인용 소파 DNE124,https://shopping-phinf.pstatic.net/main_4114963/41149633619.20241119101920.jpg,"₩99,000",파로마,파로마,41149633619,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버
소파,한샘 아르떼 4인용 천연가죽소파,https://shopping-phinf.pstatic.net/main_2581769/25817691522.20210201112657.jpg,"₩1,295,100",한샘,한샘,25817691522,가구/인테리어,거실가구,소파,가죽소파,네이버,네이버
소파,리바트 올 뉴탐 1인 패브릭소파,https://shopping-phinf.pstatic.net/main_1226840/12268402081.20241101141540.jpg,"₩292,000",리바트,현대리바트,12268402081,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버
소파,에보니아 엔느 패브릭 2인소파,https://shopping-phinf.pstatic.net/main_6996996/6996996101.20231205102856.jpg,"₩163,460",에보니아,에보니아,6996996101,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버
소파,NUUB 굿타임 아쿠아텍스 패브릭 2인용 소파 + 스툴,https://shopping-phinf.pstatic.net/main_5161741/51617410620.20241127145429.jpg,"₩164,000",NUUB,NUUB,51617410620,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버
소파,썸앤데코 프라하 가죽 소파 모던 디자인 4인용,https://shopping-phinf.pstatic.net/main_5273583/52735832826.20250131094053.jpg,"₩1,292,000",썸앤데코,썸앤데코,52735832826,가구/인테리어,거실가구,소파,가죽소파,네이버,네이버
원형 러그,롤베이비 착한 원형러그 아기 유아 아이방 놀이방 러그 패드 매트 아이보리 110cm 프릴,https://shopping-phinf.pstatic.net/main_8350198/83501985214.4.jpg,"₩42,900",롤베이비,롤베이비,83501985214,가구/인테리어,카페트/러그,러그,,엘오엘스토어,네이버
원형 러그,호이데코 먼지없는 단모 코지 워셔블 아이방 대형 미니 거실카페트 원형러그,https://shopping-phinf.pstatic.net/main_4636382/46363826618.20250109183045.jpg,"₩21,900",호이데코,트렌디,46363826618,가구/인테리어,카페트/러그,러그,,네이버,네이버
